year,capex_kwh,oem_kwh
2014,6000.0,0
2015,5761.59,0
2016,5532.65,0
2017,5312.8,0
2018,5101.7,0
2019,4898.98,0
2020,4704.32,0
2021,4517.39,0
2022,4337.89,0
2023,4165.52,0
2024,4000.0,0
2025,3900.0,0
2026,3750.0,0
2027,3600.0,0
2028,3450.0,0
2029,3200.0,0
2030,3100.0,0
2031,3000.0,0
2032,2900.0,0
2033,2850.0,0
2034,2800.0,0
2035,2772.0,0
2036,2744.28,0
2037,2716.84,0
2038,2689.67,0
2039,2662.77,0
2040,2636.14,0
2041,2609.78,0
2042,2583.69,0
2043,2557.85,0
2044,2532.27,0
2045,2506.95,0
2046,2481.88,0
2047,2457.06,0
2048,2432.49,0
2049,2408.16,0
2050,2384.08,0
